_items/_id,_items/clusterID,_items/connectionTime,_items/disconnectTime,_items/doneChargingTime,_items/kWhDelivered,_items/sessionID,_items/siteID,_items/spaceID,_items/stationID,_items/timezone,_items/userID,_items/userInputs/0/WhPerMile,_items/userInputs/0/kWhRequested,_items/userInputs/0/milesRequested,_items/userInputs/0/minutesAvailable,_items/userInputs/0/modifiedAt,_items/userInputs/0/paymentRequired,_items/userInputs/0/requestedDeparture,_items/userInputs/0/userID,_items/userInputs/1/WhPerMile,_items/userInputs/1/kWhRequested,_items/userInputs/1/milesRequested,_items/userInputs/1/minutesAvailable,_items/userInputs/1/modifiedAt,_items/userInputs/1/paymentRequired,_items/userInputs/1/requestedDeparture,_items/userInputs/1/userID,_items/userInputs/0,_items/userInputs/2/WhPerMile,_items/userInputs/2/kWhRequested,_items/userInputs/2/milesRequested,_items/userInputs/2/minutesAvailable,_items/userInputs/2/modifiedAt,_items/userInputs/2/paymentRequired,_items/userInputs/2/requestedDeparture,_items/userInputs/2/userID,_items/userInputs/3/WhPerMile,_items/userInputs/3/kWhRequested,_items/userInputs/3/milesRequested,_items/userInputs/3/minutesAvailable,_items/userInputs/3/modifiedAt,_items/userInputs/3/paymentRequired,_items/userInputs/3/requestedDeparture,_items/userInputs/3/userID,_items/userInputs/4/WhPerMile,_items/userInputs/4/kWhRequested,_items/userInputs/4/milesRequested,_items/userInputs/4/minutesAvailable,_items/userInputs/4/modifiedAt,_items/userInputs/4/paymentRequired,_items/userInputs/4/requestedDeparture,_items/userInputs/4/userID,_items/userInputs/5/WhPerMile,_items/userInputs/5/kWhRequested,_items/userInputs/5/milesRequested,_items/userInputs/5/minutesAvailable,_items/userInputs/5/modifiedAt,_items/userInputs/5/paymentRequired,_items/userInputs/5/requestedDeparture,_items/userInputs/5/userID,_items/userInputs/6/WhPerMile,_items/userInputs/6/kWhRequested,_items/userInputs/6/milesRequested,_items/userInputs/6/minutesAvailable,_items/userInputs/6/modifiedAt,_items/userInputs/6/paymentRequired,_items/userInputs/6/requestedDeparture,_items/userInputs/6/userID,_items/userInputs/7/WhPerMile,_items/userInputs/7/kWhRequested,_items/userInputs/7/milesRequested,_items/userInputs/7/minutesAvailable,_items/userInputs/7/modifiedAt,_items/userInputs/7/paymentRequired,_items/userInputs/7/requestedDeparture,_items/userInputs/7/userID,_items/userInputs/8/WhPerMile,_items/userInputs/8/kWhRequested,_items/userInputs/8/milesRequested,_items/userInputs/8/minutesAvailable,_items/userInputs/8/modifiedAt,_items/userInputs/8/paymentRequired,_items/userInputs/8/requestedDeparture,_items/userInputs/8/userID,_items/userInputs/9/WhPerMile,_items/userInputs/9/kWhRequested,_items/userInputs/9/milesRequested,_items/userInputs/9/minutesAvailable,_items/userInputs/9/modifiedAt,_items/userInputs/9/paymentRequired,_items/userInputs/9/requestedDeparture,_items/userInputs/9/userID
5dd1f434f9af8b2dec17805f,0039,"Fri, 01 Nov 2019 14:11:14 GMT","Fri, 01 Nov 2019 15:27:06 GMT","Fri, 01 Nov 2019 15:27:01 GMT",4.279,2_39_89_25_2019-11-01 14:11:13.813067,0002,CA-315,2-39-89-25,America/Los_Angeles,000000743,400,8,20,30,"Fri, 01 Nov 2019 14:11:31 GMT",true,"Fri, 01 Nov 2019 14:41:14 GMT",743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178060,0039,"Fri, 01 Nov 2019 14:43:05 GMT","Fri, 01 Nov 2019 23:36:35 GMT","Fri, 01 Nov 2019 18:24:36 GMT",11.769,2_39_90_26_2019-11-01 14:43:04.819121,0002,CA-316,2-39-90-26,America/Los_Angeles,000004269,400,16,40,60,"Fri, 01 Nov 2019 14:51:54 GMT",true,"Fri, 01 Nov 2019 15:43:05 GMT",4269,400,16,40,475,"Fri, 01 Nov 2019 21:47:39 GMT",true,"Fri, 01 Nov 2019 22:38:05 GMT",4269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178061,0039,"Fri, 01 Nov 2019 14:52:02 GMT","Fri, 01 Nov 2019 20:54:46 GMT","Fri, 01 Nov 2019 19:52:10 GMT",0.889,2_39_139_28_2019-11-01 14:52:02.094336,0002,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178062,0039,"Fri, 01 Nov 2019 15:24:52 GMT","Fri, 01 Nov 2019 19:19:15 GMT","Fri, 01 Nov 2019 19:19:10 GMT",13.43,2_39_78_366_2019-11-01 15:24:51.692724,0002,CA-323,2-39-78-366,America/Los_Angeles,000003853,360,21.6,60,559,"Fri, 01 Nov 2019 15:25:08 GMT",true,"Sat, 02 Nov 2019 00:43:52 GMT",3853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178063,0039,"Fri, 01 Nov 2019 15:59:05 GMT","Fri, 01 Nov 2019 23:07:37 GMT","Fri, 01 Nov 2019 19:39:17 GMT",12.001,2_39_79_383_2019-11-01 15:59:04.798455,0002,CA-492,2-39-79-383,America/Los_Angeles,000001470,292,20.44,70,400,"Fri, 01 Nov 2019 15:59:26 GMT",true,"Fri, 01 Nov 2019 22:39:05 GMT",1470,292,20.44,70,395,"Fri, 01 Nov 2019 21:36:54 GMT",true,"Fri, 01 Nov 2019 22:34:05 GMT",1470,,292,20.44,70,395,"Fri, 01 Nov 2019 23:06:51 GMT",true,"Fri, 01 Nov 2019 22:34:05 GMT",1470,292,20.44,70,395,"Fri, 01 Nov 2019 23:07:36 GMT",true,"Fri, 01 Nov 2019 22:34:05 GMT",1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178064,0039,"Fri, 01 Nov 2019 16:00:51 GMT","Sat, 02 Nov 2019 01:09:53 GMT","Fri, 01 Nov 2019 16:48:17 GMT",2.115,2_39_78_365_2019-11-01 16:00:51.236327,0002,CA-321,2-39-78-365,America/Los_Angeles,000000891,400,8,20,36,"Fri, 01 Nov 2019 16:00:53 GMT",true,"Fri, 01 Nov 2019 16:36:51 GMT",891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178065,0039,"Fri, 01 Nov 2019 16:04:49 GMT","Sat, 02 Nov 2019 01:37:09 GMT","Sat, 02 Nov 2019 01:16:05 GMT",31.883,2_39_78_363_2019-11-01 16:04:49.379288,0002,CA-320,2-39-78-363,America/Los_Angeles,000000579,400,32,80,631,"Fri, 01 Nov 2019 16:04:58 GMT",true,"Sat, 02 Nov 2019 02:35:49 GMT",579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178066,0039,"Fri, 01 Nov 2019 16:13:35 GMT","Sat, 02 Nov 2019 03:39:12 GMT","Fri, 01 Nov 2019 18:53:42 GMT",8.995,2_39_131_30_2019-11-01 16:13:35.176206,0002,CA-305,2-39-131-30,America/Los_Angeles,000000712,400,16,40,332,"Fri, 01 Nov 2019 16:13:40 GMT",true,"Fri, 01 Nov 2019 21:45:35 GMT",712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178067,0039,"Fri, 01 Nov 2019 16:27:14 GMT","Sat, 02 Nov 2019 01:42:23 GMT","Fri, 01 Nov 2019 17:23:57 GMT",5.012,2_39_79_379_2019-11-01 16:27:13.890255,0002,CA-327,2-39-79-379,America/Los_Angeles,000000697,400,12,30,431,"Fri, 01 Nov 2019 16:27:37 GMT",true,"Fri, 01 Nov 2019 23:38:14 GMT",697,400,8,20,60,"Fri, 01 Nov 2019 16:28:12 GMT",true,"Fri, 01 Nov 2019 17:27:14 GMT",697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd1f434f9af8b2dec178068,0039,"Fri, 01 Nov 2019 16:30:13 GMT","Sat, 02 Nov 2019 02:44:03 GMT","Fri, 01 Nov 2019 18:24:54 GMT",2.991,2_39_79_376_2019-11-01 16:30:13.348168,0002,CA-324,2-39-79-376,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
